,,,,,All Type of Report (All Grades) for 01-Jan-2023 to 25-Feb-2026,,,,
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,18-03-2023,41.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,19-03-2023,64.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-03-2023,59.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-03-2023,73.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-03-2023,51.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-03-2023,39.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-04-2023,51.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,07-04-2023,68.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-04-2023,74.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-04-2023,48.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-04-2023,59.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-05-2023,39.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-06-2023,23.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-06-2023,25.00,Metric Tonnes,1510.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-06-2023,27.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,17-06-2023,63.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-06-2023,39.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-07-2023,65.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,09-07-2023,50.00,Metric Tonnes,1950.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-07-2023,66.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-07-2023,28.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-07-2023,31.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-07-2023,25.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-07-2023,32.00,Metric Tonnes,1425.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-07-2023,28.00,Metric Tonnes,1525.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-07-2023,30.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-07-2023,30.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-07-2023,30.00,Metric Tonnes,1475.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-08-2023,64.00,Metric Tonnes,1425.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-08-2023,41.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,06-08-2023,45.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-08-2023,45.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-08-2023,50.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,20-08-2023,39.00,Metric Tonnes,1625.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-08-2023,64.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-08-2023,33.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-08-2023,43.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,27-08-2023,31.00,Metric Tonnes,1625.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-08-2023,34.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-09-2023,31.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-09-2023,38.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-09-2023,35.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-09-2023,36.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-09-2023,28.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-10-2023,28.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-10-2023,29.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-10-2023,14.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-10-2023,30.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-10-2023,37.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,13-11-2023,23.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,14-11-2023,25.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,17-11-2023,29.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-11-2023,42.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-12-2023,64.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,08-12-2023,47.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-12-2023,39.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-12-2023,34.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-12-2023,34.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-12-2023,78.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-12-2023,52.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-12-2023,64.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-12-2023,69.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,31-12-2023,65.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-01-2024,34.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,06-01-2024,43.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,09-01-2024,92.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,15-01-2024,54.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-01-2024,21.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-01-2024,17.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-01-2024,37.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-02-2024,45.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-02-2024,64.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-02-2024,23.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-02-2024,28.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,13-02-2024,30.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,19-02-2024,29.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-02-2024,33.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-02-2024,44.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,02-03-2024,78.80,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-03-2024,74.30,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,07-03-2024,48.50,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,08-03-2024,67.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,09-03-2024,14.50,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-03-2024,18.70,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,14-03-2024,39.50,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-03-2024,33.20,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,19-03-2024,22.30,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-03-2024,46.90,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-03-2024,62.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-03-2024,44.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-03-2024,28.80,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,31-03-2024,27.90,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-04-2024,54.30,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,07-04-2024,36.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,15-04-2024,36.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-04-2024,47.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-04-2024,43.40,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-04-2024,62.20,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-04-2024,38.50,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-05-2024,43.90,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-05-2024,44.10,Metric Tonnes,1950.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-05-2024,41.20,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-05-2024,30.10,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-05-2024,64.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-05-2024,43.30,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-05-2024,47.80,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,02-06-2024,44.70,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,03-06-2024,34.50,Metric Tonnes,2150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,06-06-2024,64.30,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-06-2024,54.70,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,13-06-2024,63.40,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,18-06-2024,35.60,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-06-2024,52.40,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-06-2024,40.40,Metric Tonnes,2550.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-06-2024,51.50,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-07-2024,27.20,Metric Tonnes,2650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,06-07-2024,57.90,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,09-07-2024,82.30,Metric Tonnes,2300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-07-2024,58.20,Metric Tonnes,2650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,13-07-2024,46.50,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,20-07-2024,22.90,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-07-2024,28.50,Metric Tonnes,2650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-07-2024,35.50,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-07-2024,40.50,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-07-2024,48.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-08-2024,23.00,Metric Tonnes,2850.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,02-08-2024,68.00,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-08-2024,38.30,Metric Tonnes,2300.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,06-08-2024,24.60,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,09-08-2024,47.20,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-08-2024,40.50,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-08-2024,57.60,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-08-2024,47.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,13-08-2024,52.50,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-08-2024,39.70,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,17-08-2024,49.90,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,20-08-2024,26.60,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-08-2024,51.60,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,27-08-2024,39.60,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-08-2024,54.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,31-08-2024,52.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,02-09-2024,27.40,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,08-09-2024,43.60,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,09-09-2024,51.20,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,10-09-2024,67.70,Metric Tonnes,2450.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-09-2024,60.00,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,19-09-2024,41.20,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,20-09-2024,53.20,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-09-2024,35.90,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-09-2024,56.80,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-09-2024,32.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,24-09-2024,54.40,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-09-2024,62.10,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,27-09-2024,48.30,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-09-2024,33.60,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-09-2024,48.10,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-09-2024,32.60,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,01-10-2024,54.70,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-10-2024,55.90,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,06-10-2024,54.70,Metric Tonnes,2550.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,11-10-2024,50.20,Metric Tonnes,2650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,20-10-2024,49.70,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,25-10-2024,40.30,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,27-10-2024,43.40,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-10-2024,45.00,Metric Tonnes,2850.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-11-2024,48.00,Metric Tonnes,3050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,07-11-2024,46.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,24-11-2024,41.10,Metric Tonnes,3000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-11-2024,42.60,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,14-12-2024,25.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,15-12-2024,25.50,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,16-12-2024,31.90,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,19-12-2024,63.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,20-12-2024,42.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-12-2024,53.40,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-12-2024,48.20,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,23-12-2024,36.30,Metric Tonnes,1850.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-12-2024,54.70,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-12-2024,43.10,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-12-2024,46.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,30-12-2024,34.70,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-01-2025,38.20,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-01-2025,46.10,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-01-2025,94.80,Metric Tonnes,1450.00,Rs./Quintal
