commodity,commodity_group,state,district,date,arrival_quantity,min_price,modal_price,max_price,msp,arrival_unit,price_unit,date_processed
Tomato,Vegetables,Maharashtra,Ahmednagar,03-02-2023,14.00,385.71,653.57,928.57,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093659
Tomato,Vegetables,Maharashtra,Ahmednagar,04-02-2023,41.00,276.83,618.29,959.76,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093666
Tomato,Vegetables,Maharashtra,Ahmednagar,05-02-2023,41.00,276.83,610.98,957.32,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093673
Tomato,Vegetables,Maharashtra,Ahmednagar,06-02-2023,21.00,314.29,573.81,833.33,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093680
Tomato,Vegetables,Maharashtra,Ahmednagar,07-02-2023,17.00,355.88,594.12,832.35,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093688
Tomato,Vegetables,Maharashtra,Ahmednagar,08-02-2023,23.00,400.00,628.26,869.57,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093695
Tomato,Vegetables,Maharashtra,Ahmednagar,09-02-2023,22.00,363.64,693.18,1040.91,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093703
Tomato,Vegetables,Maharashtra,Ahmednagar,10-02-2023,17.00,405.88,629.41,876.47,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093712
Tomato,Vegetables,Maharashtra,Ahmednagar,11-02-2023,20.00,385.00,700.00,1025.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093719
Tomato,Vegetables,Maharashtra,Ahmednagar,12-02-2023,43.00,348.84,698.84,1051.16,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093726
Tomato,Vegetables,Maharashtra,Ahmednagar,13-02-2023,10.00,520.00,790.00,1060.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093733
Tomato,Vegetables,Maharashtra,Ahmednagar,14-02-2023,20.00,320.00,592.50,885.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093740
Tomato,Vegetables,Maharashtra,Ahmednagar,15-02-2023,20.00,350.00,620.00,900.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093748
Tomato,Vegetables,Maharashtra,Ahmednagar,16-02-2023,30.00,503.33,825.00,1146.67,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093755
Tomato,Vegetables,Maharashtra,Ahmednagar,17-02-2023,4.00,675.00,975.00,1275.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093762
Tomato,Vegetables,Maharashtra,Ahmednagar,18-02-2023,28.00,396.43,764.29,1132.14,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093769
Tomato,Vegetables,Maharashtra,Ahmednagar,19-02-2023,19.00,392.11,815.79,1255.26,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093776
Tomato,Vegetables,Maharashtra,Ahmednagar,20-02-2023,15.00,560.00,830.00,1300.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093784
Tomato,Vegetables,Maharashtra,Ahmednagar,21-02-2023,30.00,410.00,746.67,1166.67,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093791
Tomato,Vegetables,Maharashtra,Ahmednagar,22-02-2023,29.00,524.14,767.24,1165.52,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093798
Tomato,Vegetables,Maharashtra,Ahmednagar,23-02-2023,11.00,490.91,895.45,1327.27,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093807
Tomato,Vegetables,Maharashtra,Ahmednagar,24-02-2023,14.00,564.29,839.29,1292.86,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093814
Tomato,Vegetables,Maharashtra,Ahmednagar,25-02-2023,20.00,480.00,802.50,1282.50,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093821
Tomato,Vegetables,Maharashtra,Ahmednagar,26-02-2023,26.00,523.08,905.77,1382.69,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093828
Tomato,Vegetables,Maharashtra,Ahmednagar,27-02-2023,2.00,700.00,1100.00,1400.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093836
Tomato,Vegetables,Maharashtra,Ahmednagar,28-02-2023,47.00,389.36,862.77,1307.45,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093844
Tomato,Vegetables,Maharashtra,Ahmednagar,01-03-2023,23.00,473.91,773.91,1202.17,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093851
Tomato,Vegetables,Maharashtra,Ahmednagar,02-03-2023,53.00,324.53,801.89,1331.13,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093859
Tomato,Vegetables,Maharashtra,Ahmednagar,03-03-2023,11.00,472.73,822.73,1190.91,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093866
Tomato,Vegetables,Maharashtra,Ahmednagar,04-03-2023,23.00,478.26,791.30,1223.91,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093873
Tomato,Vegetables,Maharashtra,Ahmednagar,05-03-2023,37.00,508.11,843.24,1229.73,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093881
Tomato,Vegetables,Maharashtra,Ahmednagar,06-03-2023,8.00,412.50,837.50,1262.50,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093890
Tomato,Vegetables,Maharashtra,Ahmednagar,07-03-2023,19.00,447.37,747.37,1078.95,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093897
Tomato,Vegetables,Maharashtra,Ahmednagar,08-03-2023,10.00,490.00,930.00,1370.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093905
Tomato,Vegetables,Maharashtra,Ahmednagar,09-03-2023,22.00,513.64,956.82,1372.73,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093912
Tomato,Vegetables,Maharashtra,Ahmednagar,10-03-2023,19.00,505.26,885.26,1265.79,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093919
Tomato,Vegetables,Maharashtra,Ahmednagar,11-03-2023,12.00,575.00,945.83,1300.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093927
Tomato,Vegetables,Maharashtra,Ahmednagar,12-03-2023,24.00,400.00,975.00,1550.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093934
Tomato,Vegetables,Maharashtra,Ahmednagar,13-03-2023,8.00,562.50,950.00,1337.50,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093941
Tomato,Vegetables,Maharashtra,Ahmednagar,14-03-2023,16.00,450.00,840.63,1371.88,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093948
Tomato,Vegetables,Maharashtra,Ahmednagar,15-03-2023,17.00,505.88,840.94,1282.35,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093956
Tomato,Vegetables,Maharashtra,Ahmednagar,16-03-2023,20.00,545.00,1007.50,1470.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093963
Tomato,Vegetables,Maharashtra,Ahmednagar,17-03-2023,13.00,569.23,957.69,1346.15,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093970
Tomato,Vegetables,Maharashtra,Ahmednagar,18-03-2023,29.00,482.76,944.83,1406.90,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093977
Tomato,Vegetables,Maharashtra,Ahmednagar,19-03-2023,29.00,503.45,1036.21,1558.62,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093984
Tomato,Vegetables,Maharashtra,Ahmednagar,20-03-2023,13.00,600.00,903.85,1207.69,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093991
Tomato,Vegetables,Maharashtra,Ahmednagar,21-03-2023,26.00,438.46,988.46,1557.69,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093998
Tomato,Vegetables,Maharashtra,Ahmednagar,22-03-2023,18.00,538.89,979.17,1430.56,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094005
Tomato,Vegetables,Maharashtra,Ahmednagar,23-03-2023,32.00,512.50,1104.69,1746.88,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094015
Tomato,Vegetables,Maharashtra,Ahmednagar,24-03-2023,8.00,687.50,1518.75,2312.50,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094022
Tomato,Vegetables,Maharashtra,Ahmednagar,25-03-2023,16.00,518.75,890.63,1381.25,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094029
Tomato,Vegetables,Maharashtra,Ahmednagar,26-03-2023,28.00,510.71,1023.21,1610.71,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094036
Tomato,Vegetables,Maharashtra,Ahmednagar,27-03-2023,9.00,466.67,916.67,1366.67,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094044
Tomato,Vegetables,Maharashtra,Ahmednagar,28-03-2023,21.00,392.86,778.57,1450.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094051
Tomato,Vegetables,Maharashtra,Ahmednagar,29-03-2023,10.00,550.00,1105.00,1690.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094058
Tomato,Vegetables,Maharashtra,Ahmednagar,30-03-2023,23.00,500.00,1139.13,1778.26,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094065
Tomato,Vegetables,Maharashtra,Ahmednagar,31-03-2023,7.00,1000.00,1221.43,1500.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094072
Tomato,Vegetables,Maharashtra,Ahmednagar,01-04-2023,31.00,522.58,1025.81,1535.48,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094079
Tomato,Vegetables,Maharashtra,Ahmednagar,02-04-2023,25.00,596.00,970.00,1344.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094086
Tomato,Vegetables,Maharashtra,Ahmednagar,03-04-2023,17.00,641.18,1026.47,1411.76,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094093
Tomato,Vegetables,Maharashtra,Ahmednagar,04-04-2023,10.00,470.00,1130.00,1860.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094101
Tomato,Vegetables,Maharashtra,Ahmednagar,05-04-2023,18.00,533.33,908.33,1266.67,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094108
Tomato,Vegetables,Maharashtra,Ahmednagar,06-04-2023,10.00,440.00,970.00,1540.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094115
Tomato,Vegetables,Maharashtra,Ahmednagar,07-04-2023,17.00,635.29,1067.65,1500.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094122
Tomato,Vegetables,Maharashtra,Ahmednagar,08-04-2023,19.00,610.53,960.53,1294.74,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094129
Tomato,Vegetables,Maharashtra,Ahmednagar,09-04-2023,20.00,412.50,843.75,1290.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094137
Tomato,Vegetables,Maharashtra,Ahmednagar,10-04-2023,16.00,637.50,1068.75,1500.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094144
Tomato,Vegetables,Maharashtra,Ahmednagar,11-04-2023,13.00,338.46,876.92,1415.38,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094151
Tomato,Vegetables,Maharashtra,Ahmednagar,12-04-2023,8.00,650.00,1068.75,1487.50,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094159
Tomato,Vegetables,Maharashtra,Ahmednagar,13-04-2023,7.00,571.43,1071.43,1428.57,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094166
Tomato,Vegetables,Maharashtra,Ahmednagar,14-04-2023,8.00,687.50,1062.50,1500.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094174
Tomato,Vegetables,Maharashtra,Ahmednagar,15-04-2023,23.00,486.96,852.17,1195.65,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094181
Tomato,Vegetables,Maharashtra,Ahmednagar,16-04-2023,33.00,554.55,989.39,1333.33,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094188
Tomato,Vegetables,Maharashtra,Ahmednagar,17-04-2023,6.00,550.00,1550.00,2000.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094196
Tomato,Vegetables,Maharashtra,Ahmednagar,18-04-2023,9.00,477.78,988.89,1500.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094203
Tomato,Vegetables,Maharashtra,Ahmednagar,19-04-2023,26.00,294.23,622.12,957.69,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094211
Tomato,Vegetables,Maharashtra,Ahmednagar,20-04-2023,264.00,398.30,806.53,1212.50,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094218
Tomato,Vegetables,Maharashtra,Ahmednagar,21-04-2023,6.00,800.00,1225.00,1600.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094225
Tomato,Vegetables,Maharashtra,Ahmednagar,22-04-2023,78.00,282.69,600.32,920.51,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094232
Tomato,Vegetables,Maharashtra,Ahmednagar,23-04-2023,39.00,346.15,711.54,1038.46,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094239
Tomato,Vegetables,Maharashtra,Ahmednagar,24-04-2023,73.00,283.56,637.67,967.12,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094247
Tomato,Vegetables,Maharashtra,Ahmednagar,25-04-2023,14.00,300.00,664.29,1092.86,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094254
Tomato,Vegetables,Maharashtra,Ahmednagar,26-04-2023,4.00,1000.00,1650.00,2000.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094261
Tomato,Vegetables,Maharashtra,Ahmednagar,27-04-2023,122.00,281.97,654.51,1024.59,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094268
Tomato,Vegetables,Maharashtra,Ahmednagar,28-04-2023,125.00,275.20,399.20,572.80,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094277
Tomato,Vegetables,Maharashtra,Ahmednagar,29-04-2023,126.00,273.81,378.57,534.13,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094284
Tomato,Vegetables,Maharashtra,Ahmednagar,30-04-2023,151.00,290.73,405.96,562.91,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094291
Tomato,Vegetables,Maharashtra,Ahmednagar,01-05-2023,309.00,260.19,522.82,786.41,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094298
Tomato,Vegetables,Maharashtra,Ahmednagar,02-05-2023,345.00,253.91,515.94,779.71,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094305
Tomato,Vegetables,Maharashtra,Ahmednagar,03-05-2023,317.00,257.41,509.78,760.25,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094313
Tomato,Vegetables,Maharashtra,Ahmednagar,04-05-2023,473.00,255.39,434.25,611.84,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094320
Tomato,Vegetables,Maharashtra,Ahmednagar,05-05-2023,398.00,261.31,388.69,516.58,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094327
Tomato,Vegetables,Maharashtra,Ahmednagar,06-05-2023,407.00,265.36,394.47,523.59,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094334
Tomato,Vegetables,Maharashtra,Ahmednagar,07-05-2023,471.00,254.14,382.17,509.55,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094342
Tomato,Vegetables,Maharashtra,Ahmednagar,08-05-2023,401.00,255.61,382.67,509.73,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094349
Tomato,Vegetables,Maharashtra,Ahmednagar,09-05-2023,494.00,250.81,377.23,503.64,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094356
Tomato,Vegetables,Maharashtra,Ahmednagar,10-05-2023,448.00,253.35,503.35,753.35,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094363
Tomato,Vegetables,Maharashtra,Ahmednagar,11-05-2023,470.00,254.47,503.19,1246.38,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094370
Tomato,Vegetables,Maharashtra,Ahmednagar,12-05-2023,569.00,254.48,581.28,907.91,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094377
Tomato,Vegetables,Maharashtra,Ahmednagar,13-05-2023,551.00,253.72,578.77,904.17,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094384
Tomato,Vegetables,Maharashtra,Ahmednagar,14-05-2023,601.00,262.23,512.31,859.57,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094392
Tomato,Vegetables,Maharashtra,Ahmednagar,15-05-2023,806.00,253.72,504.96,756.20,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094399
Tomato,Vegetables,Maharashtra,Ahmednagar,16-05-2023,695.00,250.50,550.79,851.65,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094406
Tomato,Vegetables,Maharashtra,Ahmednagar,17-05-2023,812.00,252.22,502.71,852.96,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094414
Tomato,Vegetables,Maharashtra,Ahmednagar,18-05-2023,799.00,252.82,382.10,511.64,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094421
Tomato,Vegetables,Maharashtra,Ahmednagar,19-05-2023,848.00,254.60,383.76,511.32,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094428
Tomato,Vegetables,Maharashtra,Ahmednagar,20-05-2023,931.00,105.16,380.45,507.84,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094435
Tomato,Vegetables,Maharashtra,Ahmednagar,21-05-2023,705.00,253.90,381.91,509.93,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094442
Tomato,Vegetables,Maharashtra,Ahmednagar,22-05-2023,703.00,252.77,454.62,656.19,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094450
Tomato,Vegetables,Maharashtra,Ahmednagar,23-05-2023,798.00,251.00,476.50,702.01,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094457
Tomato,Vegetables,Maharashtra,Ahmednagar,24-05-2023,846.00,253.19,381.44,509.69,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094464
Tomato,Vegetables,Maharashtra,Ahmednagar,25-05-2023,1057.00,252.60,405.87,559.13,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094471
Tomato,Vegetables,Maharashtra,Ahmednagar,26-05-2023,757.00,250.33,377.15,504.62,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094484
Tomato,Vegetables,Maharashtra,Ahmednagar,27-05-2023,749.00,253.14,507.34,759.55,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094492
Tomato,Vegetables,Maharashtra,Ahmednagar,28-05-2023,769.00,252.67,503.32,753.97,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094499
Tomato,Vegetables,Maharashtra,Ahmednagar,29-05-2023,702.00,251.28,526.35,801.14,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094506
Tomato,Vegetables,Maharashtra,Ahmednagar,30-05-2023,805.00,250.19,500.00,750.19,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094513
Tomato,Vegetables,Maharashtra,Ahmednagar,31-05-2023,4.00,750.00,1175.00,1600.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094521
Tomato,Vegetables,Maharashtra,Ahmednagar,01-06-2023,599.00,254.59,751.25,1248.75,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094529
Tomato,Vegetables,Maharashtra,Ahmednagar,02-06-2023,673.00,252.45,1126.23,2000.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094536
Tomato,Vegetables,Maharashtra,Ahmednagar,03-06-2023,706.00,255.52,1000.57,1745.61,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094544
Tomato,Vegetables,Maharashtra,Ahmednagar,04-06-2023,682.00,257.92,1002.49,1747.07,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094551
Tomato,Vegetables,Maharashtra,Ahmednagar,05-06-2023,633.00,253.08,1001.90,1750.39,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094558
Tomato,Vegetables,Maharashtra,Ahmednagar,06-06-2023,578.00,251.73,1061.57,1872.40,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094566
Tomato,Vegetables,Maharashtra,Ahmednagar,07-06-2023,368.00,258.15,1066.70,1877.04,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094573
Tomato,Vegetables,Maharashtra,Ahmednagar,08-06-2023,565.00,255.04,877.52,1500.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094580
Tomato,Vegetables,Maharashtra,Ahmednagar,09-06-2023,584.00,256.16,940.73,1626.28,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094587
Tomato,Vegetables,Maharashtra,Ahmednagar,10-06-2023,484.00,260.54,1122.21,1983.88,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094594
Tomato,Vegetables,Maharashtra,Ahmednagar,11-06-2023,404.00,280.32,1138.92,1998.51,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.094603
