,,,,,,All Type of Report (All Grades) for 01-Jan-2023 to 25-Feb-2026,,,,,
Maharashtra,Ahmednagar,Vegetables,Onion,20-01-2023,0.00,1031.00,Metric Tonnes,194.67,1039.33,1694.67,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,21-01-2023,0.00,5246.00,Metric Tonnes,394.38,1168.97,1752.26,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,22-01-2023,0.00,3300.00,Metric Tonnes,281.64,1135.58,1691.24,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,23-01-2023,0.00,13565.00,Metric Tonnes,703.02,1187.62,1588.09,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,24-01-2023,0.00,2303.00,Metric Tonnes,294.33,998.01,1578.25,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,25-01-2023,0.00,8073.00,Metric Tonnes,422.17,1179.46,1522.92,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,26-01-2023,0.00,8793.00,Metric Tonnes,823.85,1094.92,1412.33,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,27-01-2023,0.00,3924.00,Metric Tonnes,343.09,1057.80,1544.29,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,28-01-2023,0.00,4677.00,Metric Tonnes,385.91,1088.99,1369.44,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,29-01-2023,0.00,2939.00,Metric Tonnes,269.51,966.64,1474.29,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,30-01-2023,0.00,11573.00,Metric Tonnes,581.58,1013.87,1323.21,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,31-01-2023,0.00,1872.00,Metric Tonnes,428.98,884.80,1321.79,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,01-02-2023,0.00,5936.00,Metric Tonnes,425.81,1086.23,1386.35,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,02-02-2023,0.00,8688.00,Metric Tonnes,580.14,977.49,1307.56,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-02-2023,0.00,3610.00,Metric Tonnes,331.39,1043.31,1464.68,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-02-2023,0.00,8946.00,Metric Tonnes,536.85,949.58,1300.08,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,05-02-2023,0.00,2314.00,Metric Tonnes,266.68,943.65,1441.92,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,06-02-2023,0.00,9418.00,Metric Tonnes,603.38,1017.26,1315.41,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-02-2023,0.00,1743.00,Metric Tonnes,351.29,900.92,1354.88,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-02-2023,0.00,4705.00,Metric Tonnes,424.59,1021.45,1365.61,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,09-02-2023,0.00,1567.00,Metric Tonnes,386.15,900.84,1293.63,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-02-2023,0.00,3175.00,Metric Tonnes,327.40,899.87,1294.75,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-02-2023,0.00,3032.00,Metric Tonnes,398.94,917.65,1183.88,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-02-2023,0.00,2086.00,Metric Tonnes,192.23,866.11,1268.62,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,13-02-2023,0.00,3981.00,Metric Tonnes,444.01,914.20,1213.36,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-02-2023,0.00,9160.00,Metric Tonnes,698.23,905.21,1103.90,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-02-2023,0.00,5125.00,Metric Tonnes,380.23,847.07,1151.24,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,16-02-2023,0.00,2237.00,Metric Tonnes,341.69,700.14,971.60,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-02-2023,0.00,3334.00,Metric Tonnes,293.73,730.86,1023.86,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,18-02-2023,0.00,2407.00,Metric Tonnes,231.20,731.20,1014.42,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,19-02-2023,0.00,6055.00,Metric Tonnes,420.41,775.18,1043.40,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,20-02-2023,0.00,6989.00,Metric Tonnes,434.61,828.48,1083.20,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,21-02-2023,0.00,2263.00,Metric Tonnes,331.71,684.05,995.47,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,22-02-2023,0.00,3203.00,Metric Tonnes,310.49,749.97,1071.79,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,23-02-2023,0.00,1583.00,Metric Tonnes,345.59,695.30,987.79,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,24-02-2023,0.00,2287.00,Metric Tonnes,334.48,738.02,1062.80,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,25-02-2023,0.00,5516.00,Metric Tonnes,397.52,669.15,977.21,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,26-02-2023,0.00,1357.00,Metric Tonnes,180.43,698.45,1020.43,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,27-02-2023,0.00,6003.00,Metric Tonnes,470.31,782.97,1004.54,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,28-02-2023,0.00,715.00,Metric Tonnes,173.50,559.06,865.88,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,01-03-2023,0.00,6599.00,Metric Tonnes,450.33,777.92,1025.72,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,02-03-2023,0.00,4850.00,Metric Tonnes,429.74,787.01,1089.47,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-03-2023,0.00,2418.00,Metric Tonnes,327.89,773.93,1146.49,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-03-2023,0.00,1932.00,Metric Tonnes,311.54,788.67,1065.88,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,05-03-2023,0.00,1664.00,Metric Tonnes,178.48,765.21,1223.96,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,06-03-2023,0.00,2361.00,Metric Tonnes,442.19,842.52,1220.26,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-03-2023,0.00,7815.00,Metric Tonnes,648.31,970.62,1329.97,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-03-2023,0.00,2412.00,Metric Tonnes,363.10,911.51,1302.79,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,09-03-2023,0.00,8802.00,Metric Tonnes,203.22,739.34,1256.36,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-03-2023,0.00,4481.00,Metric Tonnes,248.57,820.42,1309.47,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-03-2023,0.00,10597.00,Metric Tonnes,206.05,728.66,1209.41,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-03-2023,0.00,3510.00,Metric Tonnes,191.14,765.47,1247.61,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,13-03-2023,0.00,10005.00,Metric Tonnes,152.50,671.26,1158.21,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-03-2023,0.00,4175.00,Metric Tonnes,266.61,767.96,1211.60,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-03-2023,0.00,5658.00,Metric Tonnes,238.13,768.26,1184.64,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,16-03-2023,0.00,10575.00,Metric Tonnes,171.59,650.61,1109.28,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-03-2023,0.00,3173.00,Metric Tonnes,194.96,757.65,1210.81,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,18-03-2023,0.00,9524.00,Metric Tonnes,151.27,665.85,1139.52,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,19-03-2023,0.00,2599.00,Metric Tonnes,216.32,794.07,1173.91,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,20-03-2023,0.00,11013.00,Metric Tonnes,152.28,694.80,1193.60,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,21-03-2023,0.00,6098.00,Metric Tonnes,230.28,741.56,1144.15,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,22-03-2023,0.00,4918.00,Metric Tonnes,230.22,829.37,1239.48,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,23-03-2023,0.00,9650.00,Metric Tonnes,139.81,633.07,1095.01,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,24-03-2023,0.00,5192.00,Metric Tonnes,208.20,736.46,1137.30,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,25-03-2023,0.00,9095.00,Metric Tonnes,100.00,652.58,1194.84,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,26-03-2023,0.00,4376.00,Metric Tonnes,181.80,742.70,1093.93,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,27-03-2023,0.00,2806.00,Metric Tonnes,169.07,661.65,1094.80,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,28-03-2023,0.00,6262.00,Metric Tonnes,184.53,660.81,1064.70,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,29-03-2023,0.00,12287.00,Metric Tonnes,172.77,618.37,941.09,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,30-03-2023,0.00,17348.00,Metric Tonnes,171.78,576.25,945.21,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,31-03-2023,0.00,13329.00,Metric Tonnes,180.13,625.83,1032.25,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,01-04-2023,0.00,498.00,Metric Tonnes,190.16,509.84,829.52,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,02-04-2023,0.00,940.00,Metric Tonnes,190.62,437.23,746.27,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-04-2023,0.00,1316.00,Metric Tonnes,200.00,520.21,776.90,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-04-2023,0.00,198.00,Metric Tonnes,106.06,701.01,1118.68,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,05-04-2023,0.00,1963.00,Metric Tonnes,259.45,665.46,918.77,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,06-04-2023,0.00,1377.00,Metric Tonnes,218.78,672.08,1038.95,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-04-2023,0.00,1522.00,Metric Tonnes,148.95,618.99,1056.20,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-04-2023,0.00,2055.00,Metric Tonnes,225.86,656.32,894.31,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,09-04-2023,0.00,1728.00,Metric Tonnes,165.37,645.84,954.58,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-04-2023,0.00,2342.00,Metric Tonnes,205.95,597.11,932.21,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-04-2023,0.00,6485.00,Metric Tonnes,136.26,617.96,1073.85,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-04-2023,0.00,8682.00,Metric Tonnes,142.04,626.40,1061.80,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,13-04-2023,0.00,1829.00,Metric Tonnes,240.46,630.19,1008.38,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-04-2023,0.00,8706.00,Metric Tonnes,125.09,610.53,1094.52,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-04-2023,0.00,7664.00,Metric Tonnes,146.19,570.99,971.65,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,16-04-2023,0.00,2464.00,Metric Tonnes,173.05,688.27,1029.21,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-04-2023,0.00,7539.00,Metric Tonnes,133.94,556.38,966.79,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,18-04-2023,0.00,2861.00,Metric Tonnes,179.17,605.57,922.90,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,19-04-2023,0.00,3368.00,Metric Tonnes,160.30,663.33,947.46,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,20-04-2023,0.00,7258.00,Metric Tonnes,125.72,496.94,831.00,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,21-04-2023,0.00,3113.00,Metric Tonnes,147.32,603.39,955.22,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,22-04-2023,0.00,5751.00,Metric Tonnes,111.32,515.41,910.10,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,23-04-2023,0.00,1849.00,Metric Tonnes,123.98,594.54,926.58,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,24-04-2023,0.00,6245.00,Metric Tonnes,133.32,547.27,943.16,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,25-04-2023,0.00,3151.00,Metric Tonnes,146.30,584.64,910.75,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,26-04-2023,0.00,3413.00,Metric Tonnes,175.17,625.52,928.95,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,27-04-2023,0.00,6571.00,Metric Tonnes,123.71,529.43,897.68,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,28-04-2023,0.00,889.00,Metric Tonnes,200.00,714.29,933.30,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,29-04-2023,0.00,2185.00,Metric Tonnes,159.41,586.42,954.03,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,30-04-2023,0.00,1872.00,Metric Tonnes,101.66,580.98,980.88,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,01-05-2023,0.00,580.00,Metric Tonnes,227.36,579.48,817.93,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,02-05-2023,0.00,3706.00,Metric Tonnes,177.36,589.04,945.67,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-05-2023,0.00,3594.00,Metric Tonnes,178.02,647.50,968.26,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-05-2023,0.00,1908.00,Metric Tonnes,211.87,656.27,1000.57,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,05-05-2023,0.00,4169.00,Metric Tonnes,144.47,645.51,1056.66,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,06-05-2023,0.00,2768.00,Metric Tonnes,243.29,663.25,964.13,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-05-2023,0.00,3239.00,Metric Tonnes,120.65,646.48,1057.65,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-05-2023,0.00,3536.00,Metric Tonnes,191.88,644.56,1041.72,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,09-05-2023,0.00,4346.00,Metric Tonnes,177.55,640.02,997.39,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-05-2023,0.00,5742.00,Metric Tonnes,173.63,684.91,1022.67,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-05-2023,0.00,3864.00,Metric Tonnes,220.22,589.52,888.34,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-05-2023,0.00,4795.00,Metric Tonnes,143.25,589.41,940.77,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,13-05-2023,0.00,2221.00,Metric Tonnes,238.63,571.24,848.09,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-05-2023,0.00,2525.00,Metric Tonnes,104.91,600.75,995.09,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-05-2023,0.00,1959.00,Metric Tonnes,223.53,455.59,753.50,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,16-05-2023,0.00,4528.00,Metric Tonnes,149.58,567.92,891.55,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-05-2023,0.00,4249.00,Metric Tonnes,162.51,628.66,983.22,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,18-05-2023,0.00,2339.00,Metric Tonnes,169.74,514.20,899.05,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,19-05-2023,0.00,3821.00,Metric Tonnes,130.36,589.02,972.25,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,21-05-2023,0.00,1602.00,Metric Tonnes,102.30,689.01,987.48,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,22-05-2023,0.00,802.00,Metric Tonnes,200.00,600.00,1001.00,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,23-05-2023,0.00,1543.00,Metric Tonnes,200.00,676.10,1079.01,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,24-05-2023,0.00,2584.00,Metric Tonnes,183.36,705.72,1113.99,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,25-05-2023,0.00,2158.00,Metric Tonnes,157.77,679.07,1095.66,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,26-05-2023,0.00,4120.00,Metric Tonnes,161.50,686.00,1104.96,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,27-05-2023,0.00,1031.00,Metric Tonnes,195.44,695.00,903.14,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,28-05-2023,0.00,2088.00,Metric Tonnes,164.70,724.11,1255.19,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,29-05-2023,0.00,2264.00,Metric Tonnes,191.76,657.48,1124.09,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,30-05-2023,0.00,2468.00,Metric Tonnes,195.62,678.00,1120.11,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,31-05-2023,0.00,5285.00,Metric Tonnes,200.00,720.14,1207.45,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,01-06-2023,0.00,3198.00,Metric Tonnes,165.04,697.60,1151.73,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,02-06-2023,0.00,4290.00,Metric Tonnes,130.99,744.57,1228.63,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-06-2023,0.00,4984.00,Metric Tonnes,124.22,670.06,1140.87,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-06-2023,0.00,2047.00,Metric Tonnes,158.14,761.93,1265.50,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,05-06-2023,0.00,4781.00,Metric Tonnes,225.94,747.93,1239.66,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,06-06-2023,0.00,3213.00,Metric Tonnes,152.24,737.98,1256.26,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-06-2023,0.00,6415.00,Metric Tonnes,200.55,791.05,1311.43,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-06-2023,0.00,3572.00,Metric Tonnes,211.25,730.87,1258.08,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,09-06-2023,0.00,6004.00,Metric Tonnes,175.28,800.60,1383.06,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-06-2023,0.00,8382.00,Metric Tonnes,172.32,766.80,1285.84,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-06-2023,0.00,2383.00,Metric Tonnes,105.84,790.70,1337.73,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-06-2023,0.00,10188.00,Metric Tonnes,173.35,742.94,1349.45,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,13-06-2023,0.00,5176.00,Metric Tonnes,222.35,793.85,1341.93,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-06-2023,0.00,6734.00,Metric Tonnes,208.23,836.25,1401.91,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-06-2023,0.00,6585.00,Metric Tonnes,153.33,752.03,1369.12,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,16-06-2023,0.00,6546.00,Metric Tonnes,152.38,768.74,1342.50,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-06-2023,0.00,8811.00,Metric Tonnes,197.66,861.22,1436.49,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,18-06-2023,0.00,2357.00,Metric Tonnes,106.43,796.92,1376.30,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,19-06-2023,0.00,7585.00,Metric Tonnes,207.99,868.17,1448.63,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,20-06-2023,0.00,7912.00,Metric Tonnes,169.00,856.47,1490.14,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,21-06-2023,0.00,6030.00,Metric Tonnes,208.96,975.78,1516.97,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,22-06-2023,0.00,5766.00,Metric Tonnes,154.62,668.83,1384.91,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,23-06-2023,0.00,6599.00,Metric Tonnes,158.13,805.54,1446.39,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,24-06-2023,0.00,8112.00,Metric Tonnes,191.23,963.22,1595.37,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,25-06-2023,0.00,2604.00,Metric Tonnes,166.10,838.70,1425.91,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,26-06-2023,0.00,8186.00,Metric Tonnes,176.54,943.61,1693.08,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,27-06-2023,0.00,4873.00,Metric Tonnes,218.57,1005.35,1692.32,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,28-06-2023,0.00,6053.00,Metric Tonnes,288.65,1214.31,2075.16,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,29-06-2023,0.00,1606.00,Metric Tonnes,149.90,1222.78,2048.39,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,30-06-2023,0.00,6908.00,Metric Tonnes,217.83,1335.62,2185.33,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,01-07-2023,0.00,13636.00,Metric Tonnes,280.40,1231.68,2098.35,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,02-07-2023,0.00,4059.00,Metric Tonnes,169.35,1275.58,2059.24,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-07-2023,0.00,12162.00,Metric Tonnes,284.99,1296.61,2145.99,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-07-2023,0.00,9068.00,Metric Tonnes,255.97,1304.42,2080.03,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,05-07-2023,0.00,11221.47,Metric Tonnes,319.17,1438.29,2251.50,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,06-07-2023,0.00,4544.00,Metric Tonnes,219.51,1240.75,1884.34,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-07-2023,0.00,12611.86,Metric Tonnes,222.06,1232.97,1950.37,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-07-2023,0.00,16629.46,Metric Tonnes,234.73,1182.73,1909.93,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,09-07-2023,0.00,4734.25,Metric Tonnes,151.29,974.43,1703.82,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-07-2023,0.00,15598.38,Metric Tonnes,223.07,1057.40,1752.65,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-07-2023,0.00,6907.37,Metric Tonnes,170.81,976.67,1597.69,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-07-2023,0.00,7508.36,Metric Tonnes,300.42,1281.00,2065.12,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,13-07-2023,0.00,3415.00,Metric Tonnes,287.27,1008.82,1518.60,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-07-2023,0.00,6614.06,Metric Tonnes,238.50,1065.57,1680.69,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-07-2023,0.00,8657.99,Metric Tonnes,276.10,1120.72,2038.86,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,16-07-2023,0.00,2062.92,Metric Tonnes,166.58,1152.07,1839.64,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-07-2023,0.00,9373.78,Metric Tonnes,252.68,1213.42,2193.16,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,18-07-2023,0.00,2872.87,Metric Tonnes,291.46,1253.10,1719.25,Rs./Quintal
